,lemmatised_Luke
1987,.
1988,heard
1989,astonished
1990,wisdom
1991,answer
1992,.
1993,2:48
1994,.
1995,seeing
1996,","
1997,wondered
1998,.
1999,mother
2000,said
2001,:
2002,Son
2003,","
2004,hast
2005,thou
2006,done
2007,u
2008,?
2009,Behold
2010,thy
2011,father
2012,sought
2013,thee
2014,sorrowing
2015,.
2016,2:49
2017,.
2018,said
2019,:
2020,sought
2021,?
2022,know
2023,must
2024,father
2025,’
2026,business
2027,?
2028,2:50
2029,.
2030,understood
2031,word
2032,spoke
2033,unto
2034,.
2035,2:51
2036,.
2037,went
2038,came
2039,Nazareth
2040,subject
2041,.
2042,mother
2043,kept
2044,word
2045,heart
2046,.
2047,2:52
2048,.
2049,Jesus
2050,advanced
2051,wisdom
2052,age
2053,grace
2054,God
2055,men
2056,.
2057,Luke
2058,Chapter
2059,3
2060,John
2061,’
2062,mission
2063,preaching
2064,.
2065,Christ
2066,baptized
2067,.
2068,3:1
2069,.
2070,fifteenth
2071,year
2072,reign
2073,Tiberius
2074,Caesar
2075,","
2076,Pontius
2077,Pilate
2078,governor
2079,Judea
2080,","
2081,Herod
2082,tetrarch
2083,Galilee
2084,","
2085,Philip
2086,brother
2087,tetrarch
2088,Iturea
2089,country
2090,Trachonitis
2091,","
2092,Lysanias
2093,tetrarch
2094,Abilina
2095,:
2096,3:2
2097,.
2098,high
2099,priest
2100,Annas
2101,Caiphas
2102,:
2103,word
2104,Lord
2105,made
2106,unto
2107,John
2108,","
2109,son
2110,Zachary
2111,","
2112,desert
2113,.
2114,3:3
2115,.
2116,came
2117,country
2118,Jordan
2119,","
2120,preaching
2121,baptism
2122,penance
2123,remission
2124,sin
2125,.
2126,3:4
2127,.
2128,written
2129,book
2130,saying
2131,Isaias
2132,prophet
2133,:
2134,voice
2135,one
2136,cry
2137,wilderness
2138,:
2139,Prepare
2140,ye
2141,way
2142,Lord
2143,","
2144,make
2145,straight
2146,path
2147,.
2148,3:5
2149,.
2150,Every
2151,valley
2152,shall
2153,filled
2154,every
2155,mountain
2156,hill
2157,shall
2158,brought
2159,low
2160,:
2161,crooked
2162,shall
2163,made
2164,straight
2165,","
2166,rough
2167,way
2168,plain
2169,.
2170,3:6
2171,.
2172,flesh
2173,shall
2174,see
2175,salvation
2176,God
2177,.
2178,3:7
2179,.
2180,said
2181,therefore
2182,multitude
2183,went
2184,forth
2185,baptized
2186,:
2187,Ye
2188,offspring
2189,viper
2190,","
2191,hath
2192,shewed
2193,flee
2194,wrath
2195,come
2196,?
2197,3:8
2198,.
2199,Bring
2200,forth
2201,therefore
2202,fruit
2203,worthy
2204,penance
2205,:
2206,begin
2207,say
2208,","
2209,Abraham
2210,father
2211,.
2212,say
2213,unto
2214,God
2215,able
2216,stone
2217,","
2218,raise
2219,child
2220,Abraham
2221,.
2222,3:9
2223,.
2224,axe
2225,laid
2226,root
2227,tree
2228,.
2229,Every
2230,tree
2231,therefore
2232,bringeth
2233,forth
2234,good
2235,fruit
2236,shall
2237,cut
2238,cast
2239,fire
2240,.
2241,3:10
2242,.
2243,people
2244,asked
2245,","
2246,saying
2247,:
2248,shall
2249,?
2250,3:11
2251,.
2252,answering
2253,","
2254,said
2255,:
2256,hath
2257,two
2258,coat
2259,","
2260,let
2261,give
2262,hath
2263,none
2264,;
2265,hath
2266,meat
2267,","
2268,let
2269,like
2270,manner
2271,.
2272,3:12
2273,.
2274,publican
2275,also
2276,came
2277,baptized
2278,said
2279,:
2280,Master
2281,","
2282,shall
2283,?
2284,3:13
2285,.
2286,said
2287,:
2288,nothing
2289,appointed
2290,.
2291,3:14
2292,.
2293,soldier
2294,also
2295,asked
2296,","
2297,saying
2298,:
2299,shall
2300,?
2301,said
2302,:
2303,violence
2304,man
2305,","
2306,neither
2307,calumniate
2308,man
2309,;
2310,content
2311,pay
2312,.
2313,3:15
2314,.
2315,people
2316,opinion
2317,","
2318,thinking
2319,heart
2320,John
2321,","
2322,perhaps
2323,might
2324,Christ
2325,:
2326,3:16
2327,.
2328,John
2329,answered
2330,","
2331,saying
2332,unto
2333,:
2334,indeed
2335,baptize
2336,water
2337,:
2338,shall
2339,come
2340,one
2341,mightier
2342,","
2343,latchet
2344,whose
2345,shoe
2346,worthy
2347,loose
2348,.
2349,shall
2350,baptize
2351,Holy
2352,Ghost
2353,fire
2354,;
2355,3:17
2356,.
2357,Whose
2358,fan
2359,hand
2360,:
2361,purge
2362,floor
2363,gather
2364,wheat
2365,barn
2366,:
2367,chaff
2368,burn
2369,unquenchable
2370,fire
2371,.
2372,3:18
2373,.
2374,many
2375,thing
2376,exhorting
2377,preach
2378,people
2379,.
2380,3:19
2381,.
2382,Herod
2383,tetrarch
2384,","
2385,reproved
2386,Herodias
2387,","
2388,brother
2389,’
2390,wife
2391,","
2392,evil
2393,Herod
2394,done
2395,:
2396,3:20
2397,.
2398,added
2399,also
2400,shut
2401,John
2402,prison
2403,.
2404,3:21
2405,.
2406,came
2407,pas
2408,","
2409,people
2410,baptized
2411,","
2412,Jesus
2413,also
2414,baptized
2415,praying
2416,","
2417,heaven
2418,opened
2419,.
2420,3:22
2421,.
2422,Holy
2423,Ghost
2424,descended
2425,bodily
2426,shape
2427,","
2428,dove
2429,","
