,lemmatised_Matthew
1599,:
1600,Lord
1601,thy
1602,God
1603,shalt
1604,thou
1605,adore
1606,","
1607,shalt
1608,thou
1609,serve
1610,.
1611,4:11
1612,.
1613,devil
1614,left
1615,;
1616,behold
1617,angel
1618,came
1619,ministered
1620,.
1621,4:12
1622,.
1623,Jesus
1624,heard
1625,John
1626,delivered
1627,","
1628,retired
1629,Galilee
1630,:
1631,4:13
1632,.
1633,leaving
1634,city
1635,Nazareth
1636,","
1637,came
1638,dwelt
1639,Capharnaum
1640,sea
1641,coast
1642,","
1643,border
1644,Zabulon
1645,Nephthalim
1646,;
1647,4:14
1648,.
1649,might
1650,fulfilled
1651,said
1652,Isaias
1653,prophet
1654,:
1655,4:15
1656,.
1657,Land
1658,Zabulon
1659,land
1660,Nephthalim
1661,","
1662,way
1663,sea
1664,beyond
1665,Jordan
1666,","
1667,Galilee
1668,Gentiles
1669,:
1670,4:16
1671,.
1672,people
1673,sat
1674,darkness
1675,","
1676,hath
1677,seen
1678,great
1679,light
1680,:
1681,sat
1682,region
1683,shadow
1684,death
1685,","
1686,light
1687,sprung
1688,.
1689,4:17
1690,.
1691,time
1692,Jesus
1693,began
1694,preach
1695,","
1696,say
1697,:
1698,penance
1699,","
1700,kingdom
1701,heaven
1702,hand
1703,.
1704,4:18
1705,.
1706,Jesus
1707,walking
1708,sea
1709,Galilee
1710,","
1711,saw
1712,two
1713,brother
1714,","
1715,Simon
1716,called
1717,Peter
1718,","
1719,Andrew
1720,brother
1721,","
1722,casting
1723,net
1724,sea
1725,(
1726,fisher
1727,)
1728,.
1729,4:19
1730,.
1731,saith
1732,:
1733,Come
1734,ye
1735,","
1736,make
1737,fisher
1738,men
1739,.
1740,4:20
1741,.
1742,immediately
1743,leaving
1744,net
1745,","
1746,followed
1747,.
1748,4:21
1749,.
1750,going
1751,thence
1752,","
1753,saw
1754,two
1755,brother
1756,","
1757,James
1758,son
1759,Zebedee
1760,","
1761,John
1762,brother
1763,","
1764,ship
1765,Zebedee
1766,father
1767,","
1768,mending
1769,net
1770,:
1771,called
1772,.
1773,4:22
1774,.
1775,forthwith
1776,left
1777,net
1778,father
1779,","
1780,followed
1781,.
1782,4:23
1783,.
1784,Jesus
1785,went
1786,Galilee
1787,","
1788,teaching
1789,synagogue
1790,","
1791,preaching
1792,gospel
1793,kingdom
1794,:
1795,healing
1796,manner
1797,sickness
1798,every
1799,infirmity
1800,","
1801,among
1802,people
1803,.
1804,4:24
1805,.
1806,fame
1807,went
1808,throughout
1809,Syria
1810,","
1811,presented
1812,sick
1813,people
1814,taken
1815,diver
1816,disease
1817,torment
1818,","
1819,possessed
1820,devil
1821,","
1822,lunatic
1823,","
