,lemmatised_John
2447,reapeth
2448,may
2449,rejoice
2450,together
2451,.
2452,4:37
2453,.
2454,saying
2455,true
2456,:
2457,one
2458,man
2459,soweth
2460,","
2461,another
2462,reapeth
2463,.
2464,4:38
2465,.
2466,sent
2467,reap
2468,labour
2469,.
2470,Others
2471,laboured
2472,:
2473,entered
2474,labour
2475,.
2476,4:39
2477,.
2478,city
2479,many
2480,Samaritans
2481,believed
2482,","
2483,word
2484,woman
2485,giving
2486,testimony
2487,:
2488,told
2489,thing
2490,whatsoever
2491,done
2492,.
2493,4:40
2494,.
2495,Samaritans
2496,come
2497,","
2498,desired
2499,would
2500,tarry
2501,.
2502,abode
2503,two
2504,day
2505,.
2506,4:41
2507,.
2508,many
2509,believed
2510,","
2511,word
2512,.
2513,4:42
2514,.
2515,said
2516,woman
2517,:
2518,believe
2519,","
2520,thy
2521,saying
2522,:
2523,heard
2524,know
2525,indeed
2526,Saviour
2527,world
2528,.
2529,4:43
2530,.
2531,two
2532,day
2533,","
2534,departed
2535,thence
2536,went
2537,Galilee
2538,.
2539,4:44
2540,.
